timestamp,county,covid_hospitalizations,covid_hospitalizations_update_9_29_remove_minus
2020-07-15T070054,PALM BEACH,652,NA
2020-07-15T070054,PASCO,104,NA
2020-07-15T070054,PINELLAS,237,NA
2020-07-15T070054,POLK,148,NA
2020-07-15T070054,PUTNAM,15,NA
2020-07-15T070054,SANTA ROSA,18,NA
2020-07-15T070054,SARASOTA,141,NA
2020-07-15T070054,SEMINOLE,191,NA
2020-07-15T070054,ST. JOHNS,35,NA
2020-07-15T070054,ST. LUCIE,135,NA
2020-07-15T070054,SUMTER,25,NA
2020-07-15T070054,SUWANNEE,0,NA
2020-07-15T070054,TAYLOR,0,NA
2020-07-15T070054,UNION,0,NA
2020-07-15T070054,VOLUSIA,144,NA
2020-07-15T070054,WALTON,6,NA
2020-07-15T070054,WASHINGTON,5,NA
2020-07-15T070054,All,"8,353",NA
2020-07-15T120136,ALACHUA,111,NA
2020-07-15T120136,BAKER,33,NA
2020-07-15T120136,BAY,65,NA
2020-07-15T120136,BRADFORD,0,NA
2020-07-15T120136,BREVARD,128,NA
2020-07-15T120136,BROWARD,"1,170",NA
2020-07-15T120136,CALHOUN,2,NA
2020-07-15T120136,CHARLOTTE,36,NA
2020-07-15T120136,CITRUS,18,NA
2020-07-15T120136,CLAY,56,NA
2020-07-15T120136,COLLIER,200,NA
2020-07-15T120136,COLUMBIA,23,NA
2020-07-15T120136,DESOTO,4,NA
2020-07-15T120136,DUVAL,519,NA
2020-07-15T120136,ESCAMBIA,183,NA
2020-07-15T120136,FLAGLER,22,NA
2020-07-15T120136,FRANKLIN,0,NA
2020-07-15T120136,GADSDEN,1,NA
2020-07-15T120136,GULF,2,NA
2020-07-15T120136,HARDEE,0,NA
2020-07-15T120136,HENDRY,3,NA
2020-07-15T120136,HERNANDO,69,NA
2020-07-15T120136,HIGHLANDS,54,NA
2020-07-15T120136,HILLSBOROUGH,255,NA
2020-07-15T120136,HOLMES,0,NA
2020-07-15T120136,INDIAN RIVER,35,NA
2020-07-15T120136,JACKSON,36,NA
2020-07-15T120136,LAKE,129,NA
2020-07-15T120136,LEE,243,NA
2020-07-15T120136,LEON,61,NA
2020-07-15T120136,MADISON,0,NA
2020-07-15T120136,MANATEE,79,NA
2020-07-15T120136,MARION,96,NA
2020-07-15T120136,MARTIN,39,NA
2020-07-15T120136,MIAMI-DADE,"1,842",NA
2020-07-15T120136,MONROE,19,NA
2020-07-15T120136,NASSAU,4,NA
2020-07-15T120136,OKALOOSA,43,NA
2020-07-15T120136,OKEECHOBEE,17,NA
2020-07-15T120136,ORANGE,598,NA
2020-07-15T120136,OSCEOLA,181,NA
2020-07-15T120136,PALM BEACH,649,NA
2020-07-15T120136,PASCO,109,NA
2020-07-15T120136,PINELLAS,238,NA
2020-07-15T120136,POLK,153,NA
2020-07-15T120136,PUTNAM,15,NA
2020-07-15T120136,SANTA ROSA,23,NA
2020-07-15T120136,SARASOTA,148,NA
2020-07-15T120136,SEMINOLE,168,NA
2020-07-15T120136,ST. JOHNS,31,NA
2020-07-15T120136,ST. LUCIE,133,NA
2020-07-15T120136,SUMTER,29,NA
2020-07-15T120136,SUWANNEE,0,NA
2020-07-15T120136,TAYLOR,0,NA
2020-07-15T120136,UNION,0,NA
2020-07-15T120136,VOLUSIA,155,NA
2020-07-15T120136,WALTON,7,NA
2020-07-15T120136,WASHINGTON,5,NA
2020-07-15T120136,All,"8,239",NA
2020-07-15T190141,ALACHUA,111,NA
2020-07-15T190141,BAKER,33,NA
2020-07-15T190141,BAY,65,NA
2020-07-15T190141,BRADFORD,0,NA
2020-07-15T190141,BREVARD,128,NA
2020-07-15T190141,BROWARD,"1,170",NA
2020-07-15T190141,CALHOUN,2,NA
2020-07-15T190141,CHARLOTTE,36,NA
2020-07-15T190141,CITRUS,18,NA
2020-07-15T190141,CLAY,56,NA
2020-07-15T190141,COLLIER,200,NA
2020-07-15T190141,COLUMBIA,23,NA
2020-07-15T190141,DESOTO,4,NA
2020-07-15T190141,DUVAL,519,NA
2020-07-15T190141,ESCAMBIA,168,NA
2020-07-15T190141,FLAGLER,22,NA
2020-07-15T190141,FRANKLIN,0,NA
2020-07-15T190141,GADSDEN,1,NA
2020-07-15T190141,GULF,2,NA
2020-07-15T190141,HARDEE,0,NA
2020-07-15T190141,HENDRY,3,NA
2020-07-15T190141,HERNANDO,69,NA
2020-07-15T190141,HIGHLANDS,54,NA
2020-07-15T190141,HILLSBOROUGH,255,NA
2020-07-15T190141,HOLMES,0,NA
2020-07-15T190141,INDIAN RIVER,35,NA
2020-07-15T190141,JACKSON,36,NA
2020-07-15T190141,LAKE,129,NA
2020-07-15T190141,LEE,243,NA
2020-07-15T190141,LEON,63,NA
2020-07-15T190141,MADISON,0,NA
2020-07-15T190141,MANATEE,81,NA
2020-07-15T190141,MARION,96,NA
2020-07-15T190141,MARTIN,39,NA
2020-07-15T190141,MIAMI-DADE,"1,849",NA
2020-07-15T190141,MONROE,19,NA
2020-07-15T190141,NASSAU,4,NA
2020-07-15T190141,OKALOOSA,43,NA
2020-07-15T190141,OKEECHOBEE,17,NA
2020-07-15T190141,ORANGE,582,NA
2020-07-15T190141,OSCEOLA,181,NA
2020-07-15T190141,PALM BEACH,649,NA
2020-07-15T190141,PASCO,109,NA
2020-07-15T190141,PINELLAS,238,NA
2020-07-15T190141,POLK,153,NA
2020-07-15T190141,PUTNAM,13,NA
2020-07-15T190141,SANTA ROSA,23,NA
2020-07-15T190141,SARASOTA,148,NA
2020-07-15T190141,SEMINOLE,168,NA
2020-07-15T190141,ST. JOHNS,31,NA
2020-07-15T190141,ST. LUCIE,133,NA
2020-07-15T190141,SUMTER,29,NA
2020-07-15T190141,SUWANNEE,0,NA
2020-07-15T190141,TAYLOR,0,NA
2020-07-15T190141,UNION,0,NA
2020-07-15T190141,VOLUSIA,155,NA
2020-07-15T190141,WALTON,7,NA
2020-07-15T190141,WASHINGTON,5,NA
2020-07-15T190141,All,"8,217",NA
2020-07-16T120106,ALACHUA,114,NA
2020-07-16T120106,BAKER,33,NA
2020-07-16T120106,BAY,73,NA
2020-07-16T120106,BRADFORD,0,NA
2020-07-16T120106,BREVARD,127,NA
2020-07-16T120106,BROWARD,"1,203",NA
2020-07-16T120106,CALHOUN,2,NA
2020-07-16T120106,CHARLOTTE,31,NA
2020-07-16T120106,CITRUS,26,NA
2020-07-16T120106,CLAY,60,NA
2020-07-16T120106,COLLIER,196,NA
2020-07-16T120106,COLUMBIA,23,NA
2020-07-16T120106,DESOTO,5,NA
2020-07-16T120106,DUVAL,522,NA
2020-07-16T120106,ESCAMBIA,186,NA
2020-07-16T120106,FLAGLER,19,NA
2020-07-16T120106,FRANKLIN,0,NA
2020-07-16T120106,GADSDEN,3,NA
2020-07-16T120106,GULF,2,NA
2020-07-16T120106,HARDEE,0,NA
2020-07-16T120106,HENDRY,4,NA
2020-07-16T120106,HERNANDO,87,NA
2020-07-16T120106,HIGHLANDS,64,NA
2020-07-16T120106,HILLSBOROUGH,542,NA
2020-07-16T120106,HOLMES,0,NA
2020-07-16T120106,INDIAN RIVER,36,NA
2020-07-16T120106,JACKSON,35,NA
2020-07-16T120106,LAKE,139,NA
2020-07-16T120106,LEE,248,NA
2020-07-16T120106,LEON,60,NA
2020-07-16T120106,MADISON,1,NA
2020-07-16T120106,MANATEE,106,NA
2020-07-16T120106,MARION,94,NA
2020-07-16T120106,MARTIN,41,NA
2020-07-16T120106,MIAMI-DADE,"1,879",NA
2020-07-16T120106,MONROE,19,NA
2020-07-16T120106,NASSAU,1,NA
2020-07-16T120106,OKALOOSA,46,NA
2020-07-16T120106,OKEECHOBEE,17,NA
2020-07-16T120106,ORANGE,625,NA
2020-07-16T120106,OSCEOLA,180,NA
2020-07-16T120106,PALM BEACH,670,NA
2020-07-16T120106,PASCO,139,NA
2020-07-16T120106,PINELLAS,435,NA
2020-07-16T120106,POLK,297,NA
2020-07-16T120106,PUTNAM,16,NA
2020-07-16T120106,SANTA ROSA,20,NA
